"<Device>"
Model,PA5000H
Date,2024-12-10
Time,11:2:54

"<Settings>"
Update Rate,100ms
Crest Factor,3
Efficiency Compensation,OFF
Run Mode,Basic

User,Status,Name,Unit,Expression

Element,Element1,Element2,Element3,Element4,Element5,Element6
Wiring,3P4W,3P4W,3P4W,1P2W,1P2W,1P2W
Voltage Range,600.000000V,600.000000V,600.000000V,1000.000000V,1500.000000V,1.500000V
Voltage Scaling,OFF,OFF,OFF,OFF,OFF,OFF
Voltage Auto Range,OFF,OFF,OFF,OFF,OFF,OFF
Current Range,0.050000A,0.050000A,0.050000A,50.000000A,10.000000A,1.000000A
Current Scaling,ON,ON,ON,OFF,OFF,OFF
Current Auto Range,OFF,OFF,OFF,OFF,OFF,OFF
Ext Sensor,OFF,OFF,OFF,OFF,OFF,OFF
Ext Sensor Range,10.000000V,10.000000V,10.000000V,0.050000V,0.050000V,0.050000V
Ext Sensor Ratio,10.000000mV/A,100.000000mV/A,1.000000mV/A,10.000000mV/A,1.000000mV/A,1.000000mV/A
U Liner Filter,OFF,OFF,OFF,OFF,OFF,OFF
I Liner Filter,OFF,OFF,OFF,OFF,OFF,OFF
U Frequency Filter,500Hz,500Hz,500Hz,OFF,OFF,OFF
I Frequency Filter,500Hz,500Hz,500Hz,OFF,OFF,OFF
PT Ratio,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
CT Ratio,1000.000000,1000.000000,1000.000000,1.000000,1.000000,1.000000
Sync source,U1,U2,U3,U4,U1,U1
Wiring Compensation,OFF,OFF,OFF,OFF,OFF,OFF

Store No.,Date,Time,MilliSecond,Urms1,Irms1,P1,fU1,S1,Q1,λ1,Urms2,Irms2,P2,fU2,S2,Q2,λ2,Urms3,Irms3,P3,fU3,S3,Q3,λ3,UrmsΣA,IrmsΣA,PΣA,SΣA,QΣA,λΣA
30,2024-12-10,11:2:57,18ms,2.30173e+002,8.70000e+000,1.98926e+003,4.99984e+001,2.00250e+003,2.29890e+002,9.93388e-001,2.30138e+002,8.69985e+000,1.98861e+003,5.00006e+001,2.00216e+003,2.32608e+002,9.93228e-001,2.30134e+002,8.64815e+000,1.98428e+003,5.00000e+001,1.99023e+003,1.53855e+002,9.97007e-001,2.30148e+002,8.68266e+000,5.96215e+003,5.99490e+003,6.16353e+002,9.94536e-001
31,2024-12-10,11:2:57,118ms,2.30149e+002,8.70586e+000,1.99055e+003,5.00003e+001,2.00364e+003,2.28648e+002,9.93467e-001,2.30143e+002,8.70730e+000,1.99033e+003,5.00004e+001,2.00393e+003,2.33008e+002,9.93217e-001,2.30134e+002,8.65057e+000,1.98493e+003,5.00007e+001,1.99079e+003,1.52749e+002,9.97052e-001,2.30142e+002,8.68791e+000,5.96581e+003,5.99836e+003,6.14404e+002,9.94573e-001
32,2024-12-10,11:2:57,218ms,2.30168e+002,8.71034e+000,1.99149e+003,5.00009e+001,2.00484e+003,2.30930e+002,9.93344e-001,2.30133e+002,8.70548e+000,1.98979e+003,5.00000e+001,2.00342e+003,2.33253e+002,9.93199e-001,2.30130e+002,8.65009e+000,1.98475e+003,4.99990e+001,1.99064e+003,1.53118e+002,9.97037e-001,2.30144e+002,8.68863e+000,5.96603e+003,5.99890e+003,6.17301e+002,9.94521e-001
33,2024-12-10,11:2:57,318ms,2.30181e+002,8.70047e+000,1.98955e+003,4.99997e+001,2.00269e+003,2.28963e+002,9.93443e-001,2.30128e+002,8.70745e+000,1.99016e+003,4.99991e+001,2.00383e+003,2.33653e+002,9.93179e-001,2.30126e+002,8.65858e+000,1.98661e+003,5.00005e+001,1.99257e+003,1.53927e+002,9.97012e-001,2.30145e+002,8.68884e+000,5.96632e+003,5.99908e+003,6.16542e+002,9.94540e-001
34,2024-12-10,11:2:57,418ms,2.30154e+002,8.70692e+000,1.99074e+003,5.00007e+001,2.00393e+003,2.29556e+002,9.93417e-001,2.30135e+002,8.70479e+000,1.98972e+003,4.99997e+001,2.00328e+003,2.32687e+002,9.93231e-001,2.30144e+002,8.64825e+000,1.98442e+003,4.99992e+001,1.99034e+003,1.53435e+002,9.97024e-001,2.30144e+002,8.68666e+000,5.96488e+003,5.99755e+003,6.15678e+002,9.94552e-001
35,2024-12-10,11:2:57,518ms,2.30175e+002,8.70947e+000,1.99152e+003,4.99988e+001,2.00470e+003,2.29539e+002,9.93423e-001,2.30120e+002,8.70248e+000,1.98911e+003,5.00004e+001,2.00262e+003,2.32250e+002,9.93252e-001,2.30132e+002,8.64996e+000,1.98474e+003,5.00002e+001,1.99063e+003,1.53005e+002,9.97042e-001,2.30143e+002,8.68730e+000,5.96537e+003,5.99796e+003,6.14794e+002,9.94567e-001
36,2024-12-10,11:2:57,618ms,2.30172e+002,8.70341e+000,1.99016e+003,4.99996e+001,2.00328e+003,2.28889e+002,9.93451e-001,2.30131e+002,8.70132e+000,1.98895e+003,4.99983e+001,2.00244e+003,2.32074e+002,9.93261e-001,2.30128e+002,8.65099e+000,1.98490e+003,4.99992e+001,1.99083e+003,1.53571e+002,9.97020e-001,2.30144e+002,8.68524e+000,5.96401e+003,5.99656e+003,6.14534e+002,9.94573e-001
37,2024-12-10,11:2:57,718ms,2.30149e+002,8.70040e+000,1.98927e+003,4.99997e+001,2.00239e+003,2.28875e+002,9.93446e-001,2.30126e+002,8.70917e+000,1.99073e+003,4.99998e+001,2.00421e+003,2.32088e+002,9.93273e-001,2.30153e+002,8.65431e+000,1.98608e+003,4.99996e+001,1.99182e+003,1.51103e+002,9.97118e-001,2.30143e+002,8.68796e+000,5.96607e+003,5.99842e+003,6.12066e+002,9.94608e-001
38,2024-12-10,11:2:57,818ms,2.30162e+002,8.69439e+000,1.98816e+003,4.99998e+001,2.00112e+003,2.27339e+002,9.93526e-001,2.30129e+002,8.70153e+000,1.98890e+003,4.99983e+001,2.00247e+003,2.32732e+002,9.93223e-001,2.30135e+002,8.64777e+000,1.98426e+003,5.00008e+001,1.99015e+003,1.53017e+002,9.97040e-001,2.30142e+002,8.68123e+000,5.96132e+003,5.99374e+003,6.13087e+002,9.94592e-001
39,2024-12-10,11:2:57,918ms,2.30167e+002,8.71322e+000,1.99249e+003,4.99998e+001,2.00549e+003,2.27991e+002,9.93517e-001,2.30128e+002,8.70672e+000,1.99003e+003,4.99991e+001,2.00366e+003,2.33250e+002,9.93201e-001,2.30136e+002,8.65836e+000,1.98667e+003,4.99997e+001,1.99260e+003,1.53636e+002,9.97023e-001,2.30143e+002,8.69277e+000,5.96919e+003,6.00175e+003,6.14877e+002,9.94576e-001
40,2024-12-10,11:2:58,18ms,2.30178e+002,8.72008e+000,1.99436e+003,5.00014e+001,2.00717e+003,2.26397e+002,9.93618e-001,2.30124e+002,8.71272e+000,1.99153e+003,4.99993e+001,2.00500e+003,2.32059e+002,9.93280e-001,2.30131e+002,8.66129e+000,1.98729e+003,4.99997e+001,1.99323e+003,1.53817e+002,9.97018e-001,2.30144e+002,8.69803e+000,5.97318e+003,6.00541e+003,6.12272e+002,9.94634e-001
41,2024-12-10,11:2:58,118ms,2.30150e+002,8.71607e+000,1.99300e+003,5.00000e+001,2.00600e+003,2.28072e+002,9.93516e-001,2.30138e+002,8.70841e+000,1.99052e+003,4.99991e+001,2.00414e+003,2.33260e+002,9.93204e-001,2.30144e+002,8.65429e+000,1.98571e+003,4.99987e+001,1.99173e+003,1.54826e+002,9.96974e-001,2.30144e+002,8.69293e+000,5.96922e+003,6.00188e+003,6.16157e+002,9.94559e-001
42,2024-12-10,11:2:58,218ms,2.30167e+002,8.71724e+000,1.99361e+003,4.99999e+001,2.00642e+003,2.26401e+002,9.93613e-001,2.30139e+002,8.70891e+000,1.99085e+003,5.00013e+001,2.00426e+003,2.31485e+002,9.93308e-001,2.30126e+002,8.66011e+000,1.98708e+003,4.99993e+001,1.99292e+003,1.52444e+002,9.97070e-001,2.30144e+002,8.69542e+000,5.97154e+003,6.00360e+003,6.10329e+002,9.94659e-001
